              X,              Y,
1.75000000e-001,4.82014631e+005,
3.50000000e-001,4.71371437e+005,
5.25000000e-001,4.61986022e+005,
7.00000000e-001,4.53460926e+005,
8.75000000e-001,4.45198144e+005,
1.05000000e+000,4.37070552e+005,
1.22500000e+000,4.28998918e+005,
1.40000000e+000,4.20948916e+005,
1.57500000e+000,4.12901032e+005,
1.75000000e+000,4.04844525e+005,
1.92500000e+000,3.96773039e+005,
2.10000000e+000,3.88682689e+005,
2.27500000e+000,3.80570961e+005,
2.45000000e+000,3.72436112e+005,
2.62500000e+000,3.64276834e+005,
2.80000000e+000,3.56092064e+005,
2.97500000e+000,3.47880874e+005,
3.15000000e+000,3.39642415e+005,
3.32500000e+000,3.31375878e+005,
3.50000000e+000,3.23080479e+005,
3.67500000e+000,3.14755449e+005,
3.85000000e+000,3.06400026e+005,
4.02500000e+000,2.98013460e+005,
4.20000000e+000,2.89595007e+005,
4.37500000e+000,2.81143936e+005,
4.55000000e+000,2.72659527e+005,
4.72500000e+000,2.64141077e+005,
4.90000000e+000,2.55587903e+005,
5.07500000e+000,2.46999344e+005,
5.25000000e+000,2.38374771e+005,
5.42500000e+000,2.29713586e+005,
5.60000000e+000,2.21015229e+005,
5.77500000e+000,2.12279187e+005,
5.95000000e+000,2.03504998e+005,
6.12500000e+000,1.94692257e+005,
6.30000000e+000,1.85840629e+005,
6.47500000e+000,1.76949852e+005,
6.65000000e+000,1.68019747e+005,
6.82500000e+000,1.59050234e+005,
7.00000000e+000,1.50041333e+005,
7.17500000e+000,1.40993186e+005,
7.35000000e+000,1.31906062e+005,
7.52500000e+000,1.22780374e+005,
7.70000000e+000,1.13616694e+005,
7.87500000e+000,1.04415770e+005,
8.05000000e+000,9.51785429e+004,
8.22500000e+000,8.59061629e+004,
8.40000000e+000,7.66000120e+004,
8.57500000e+000,6.72617248e+004,
8.75000000e+000,5.78932134e+004,
8.92500000e+000,4.84966920e+004,
9.10000000e+000,3.90747034e+004,
9.27500000e+000,2.96301479e+004,
9.45000000e+000,2.01663143e+004,
9.62500000e+000,1.06869134e+004,
9.80000000e+000,1.19611328e+003,
9.97500000e+000,-8.30142238e+003,
1.01500000e+001,-1.78004943e+004,
1.03250000e+001,-2.72953242e+004,
1.05000000e+001,-3.67795093e+004,
1.06750000e+001,-4.62459729e+004,
1.08500000e+001,-5.56869135e+004,
1.10250000e+001,-6.50937499e+004,
1.12000000e+001,-7.44570633e+004,
1.13750000e+001,-8.37665351e+004,
1.15500000e+001,-9.30108832e+004,
1.17250000e+001,-1.02177794e+005,
1.19000000e+001,-1.11253853e+005,
1.20750000e+001,-1.20224468e+005,
1.22500000e+001,-1.29073794e+005,
1.24250000e+001,-1.37784652e+005,
1.26000000e+001,-1.46338446e+005,
1.27750000e+001,-1.54715079e+005,
1.29500000e+001,-1.62892865e+005,
1.31250000e+001,-1.70848436e+005,
1.33000000e+001,-1.78556659e+005,
1.34750000e+001,-1.85990538e+005,
1.36500000e+001,-1.93121135e+005,
1.38250000e+001,-1.99917480e+005,
1.40000000e+001,-2.06346487e+005,
1.41750000e+001,-2.12372877e+005,
1.43500000e+001,-2.17959109e+005,
1.45250000e+001,-2.23065329e+005,
1.47000000e+001,-2.27649321e+005,
1.48750000e+001,-2.31666496e+005,
1.50500000e+001,-2.35069881e+005,
1.52250000e+001,-2.37810138e+005,
1.54000000e+001,-2.39835641e+005,
1.55750000e+001,-2.41092590e+005,
1.57500000e+001,-2.41525156e+005,
1.59250000e+001,-2.41075720e+005,
1.61000000e+001,-2.39685193e+005,
1.62750000e+001,-2.37293434e+005,
1.64500000e+001,-2.33839774e+005,
1.66250000e+001,-2.29263731e+005,
1.68000000e+001,-2.23505863e+005,
1.69750000e+001,-2.16508860e+005,
1.71500000e+001,-2.08218888e+005,
1.73250000e+001,-1.98587256e+005,
1.75000000e+001,-1.87572567e+005,
1.76750000e+001,-1.75143337e+005,
1.78500000e+001,-1.61281126e+005,
1.80250000e+001,-1.45984439e+005,
1.82000000e+001,-1.29273485e+005,
1.83750000e+001,-1.11195937e+005,
1.85500000e+001,-9.18338097e+004,
1.87250000e+001,-7.13116226e+004,
1.89000000e+001,-4.98058399e+004,
1.90750000e+001,-2.75555101e+004,
1.92500000e+001,-4.87370231e+003,
1.94250000e+001,1.78409939e+004,
1.96000000e+001,4.00943886e+004,
1.97750000e+001,6.12902816e+004,
1.99500000e+001,8.07312547e+004,
2.01250000e+001,9.76313926e+004,
2.03000000e+001,1.11146856e+005,
2.04750000e+001,1.20430590e+005,
2.06500000e+001,1.24716473e+005,
2.08250000e+001,1.23434089e+005,
2.10000000e+001,1.16347308e+005,
2.11750000e+001,1.03697627e+005,
2.13500000e+001,8.63181160e+004,
2.15250000e+001,6.56711250e+004,
2.17000000e+001,4.37601430e+004,
2.18750000e+001,2.28840460e+004,
2.20500000e+001,5.24545172e+003,
2.22250000e+001,-7.51063833e+003,
2.24000000e+001,-1.46908167e+004,
2.25750000e+001,-1.67212802e+004,
2.27500000e+001,-1.49835060e+004,
2.29250000e+001,-1.13380139e+004,
2.31000000e+001,-7.50824120e+003,
2.32750000e+001,-4.58522635e+003,
2.34500000e+001,-2.86521229e+003,
2.36250000e+001,-2.05342346e+003,
2.38000000e+001,-1.66320506e+003,
2.39750000e+001,-1.35182001e+003,
2.41500000e+001,-1.02552363e+003,
2.43250000e+001,-7.38479421e+002,
2.45000000e+001,-5.42958497e+002,
2.46750000e+001,-4.25852236e+002,
2.48500000e+001,-3.42177742e+002,
2.50250000e+001,-2.66711711e+002,
2.52000000e+001,-2.02591284e+002,
2.53750000e+001,-1.57116427e+002,
2.55500000e+001,-1.26349413e+002,
2.57250000e+001,-1.01843656e+002,
2.59000000e+001,-8.06299711e+001,
2.60750000e+001,-6.40819933e+001,
2.62500000e+001,-5.21680712e+001,
2.64250000e+001,-4.28633682e+001,
2.66000000e+001,-3.49780629e+001,
2.67750000e+001,-2.86485432e+001,
2.69500000e+001,-2.38264695e+001,
2.71250000e+001,-1.99502437e+001,
2.73000000e+001,-1.66904873e+001,
2.74750000e+001,-1.40455209e+001,
2.76500000e+001,-1.19329239e+001,
2.78250000e+001,-1.01765073e+001,
2.80000000e+001,-8.69854225e+000,
2.81750000e+001,-7.47929462e+000,
2.83500000e+001,-6.46441237e+000,
2.85250000e+001,-5.60181080e+000,
2.87000000e+001,-4.87097849e+000,
2.88750000e+001,-4.25290596e+000,
2.90500000e+001,-3.72362630e+000,
2.92250000e+001,-3.26825005e+000,
2.94000000e+001,-2.87682398e+000,
2.95750000e+001,-2.53835259e+000,
2.97500000e+001,-2.24416413e+000,
2.99250000e+001,-1.98819177e+000,
3.01000000e+001,-1.76473038e+000,
3.02750000e+001,-1.56890330e+000,
3.04500000e+001,-1.39696979e+000,
3.06250000e+001,-1.24564318e+000,
3.08000000e+001,-1.11207740e+000,
3.09750000e+001,-9.93940069e-001,
3.11500000e+001,-8.89212696e-001,
3.13250000e+001,-7.96145971e-001,
3.15000000e+001,-7.13254981e-001,
3.16750000e+001,-6.39251472e-001,
3.18500000e+001,-5.73015970e-001,
3.20250000e+001,-5.13578654e-001,
3.22000000e+001,-4.60094210e-001,
3.23750000e+001,-4.11823598e-001,
3.25500000e+001,-3.68119305e-001,
3.27250000e+001,-3.28410865e-001,
3.29000000e+001,-2.92194389e-001,
3.30750000e+001,-2.59027473e-001,
3.32500000e+001,-2.28507879e-001,
3.34250000e+001,-2.00275583e-001,
3.36000000e+001,-1.74030708e-001,
3.37750000e+001,-1.49443990e-001,
3.39500000e+001,-1.26277815e-001,
3.41250000e+001,-1.04367714e-001,
3.43000000e+001,-8.32521307e-002,
3.44750000e+001,-6.32294806e-002,
3.46500000e+001,-4.41167870e-002,
3.48250000e+001,-2.58394238e-002,
